family,order,occurrence_count,individual_count
Deflandreaceae,Peridiniales,1132,21
Deflandriaceae,Coccosphaerales,94,14
Defluviitaleaceae,Lachnospirales,9435,495
Degeneriaceae,Magnoliales,319,50
Dehalobacteriaceae,Dehalobacteriales,33,
Dehalococcoidaceae,Dehalococcoidales,8842,
Deianiraeaceae,Rickettsiales,15,
Deianiridae,Cycloneritida,15,5
Deimatidae,Synallactida,12774,2790
Deinococcaceae,Deinococcales,11666,209
Deinopidae,Araneae,4448,1065
Deinotheriidae,Proboscidea,670,158
Deinotitanidae,Orthoptera,2,
Delamareaceae,Dictyosiphonales,5,
Delatorreiidae,Isopoda,41,74
Delepinoceratidae,Goniatitida,554,281
Delesseriaceae,Ceramiales,163158,28534
Deletrocephalidae,Rhabditida,6,
Delitschiaceae,Pleosporales,1123,106
Delonicicolaceae,Delonicicolales,107,
Delosinidae,Rotaliida,47,30
Delphacidae,Hemiptera,97711,117979
Delphinidae,Cetacea,623629,6216592
Delphinulopsidae,Cycloneritida,81,19
Delpuenteblattidae,Blattodea,3,
Deltaflexiviridae,Tymovirales,45,
Deltocephalidae,Hemiptera,2286,330
Deltocyathidae,Scleractinia,5443,21476
Deltopectinidae,Pectinida,790,641
Deltoptychiidae,Chimaeriformes,55,232
Deltopylidae,Hymenostomatida,41,
Deltopyluidae,Hymenostomatida,1,
Deltopyxidaceae,Cyttariales,43,
Dematiaceae,Helotiales,1130,
Demequinaceae,Actinomycetales,6127,122
Demerecviridae,Caudovirales,145,
Demodecidae,Trombidiformes,1714,1191
Dendoricellidae,Poecilosclerida,975,3834
Dendrasteridae,Echinolampadacea,12445,27806
Dendrobatidae,Anura,103417,68695
Dendrobrachiidae,Scleralcyonacea,41,39
Dendrocerotaceae,Dendrocerotales,4603,264
Dendrocoelidae,Tricladida,16500,16965
Dendrocometidae,Suctorida,6,6
Dendrodorididae,Nudibranchia,14434,2494
Dendroeremaeidae,Sarcoptiformes,55,
Dendrogastridae,Dendrogastrida,272,130
Dendrominiaceae,Corticiales,119,3
Dendronotidae,Nudibranchia,11280,5136
Dendronucleatidae,Neoechinorhynchida,2,2
Dendrophryidae,Astrorhizida,420,371
Dendrophylliidae,Scleractinia,53399,105559
Dendropupidae,Stylommatophora,9,3
Dendrosomatidae,Suctorida,120,32
Dendrosomididae,Suctorida,41,39
Dendrotionidae,Isopoda,2207,4602
Dendyidae,Clathrinida,767,110
Denitrovibrionaceae,Deferribacterales,575,
Dennstaedtiaceae,Polypodiales,1064448,2955877
Densiporidae,Cyclostomatida,254,115
Densosporaceae,Endogonales,1149,1
Dentaliidae,Dentaliida,70033,196001
Dentatherinidae,Atheriniformes,55,220
Denticipitidae,Clupeiformes,183,1001
Deperetellidae,Perissodactyla,39,8
Depressariidae,Lepidoptera,257143,230866
Depressizonidae,Lepetellida,6,1
Deraiophoridae,Mesostigmata,312,311
Derbesiaceae,Bryopsidales,5130,555
Derbidae,Hemiptera,20916,4698
Dercetidae,Aulopiformes,365,411
Derepyxidaceae,Hibberdiales,3,
Derichthyidae,Anguilliformes,2244,3183
Dericorythidae,Orthoptera,1513,1209
Derjugianidae,Amphipoda,1,
Dermabacteraceae,Actinomycetales,5143,
Dermacoccaceae,Actinomycetales,3116,204
Dermanyssidae,Mesostigmata,8904,2466
Dermapteridae,Dermaptera,12,1
Dermateaceae,Helotiales,54005,54477
Dermationidae,Sarcoptiformes,1123,24
Dermatophilaceae,Actinomycetales,12890,1005
Dermelytridae,Blattodea,2,
Dermestidae,Coleoptera,134019,95504
Dermocarpellaceae,Cyanobacteriales,3015,146
Dermoglyphidae,Sarcoptiformes,63,34
Dermophiidae,Gymnophiona,4735,1925
Dermosmiliidae,Scleractinia,460,134
Derocheilocarididae,Mystacocaridida,86,423
Derodontidae,Coleoptera,7486,5213
Derogenidae,Plagiorchiida,2296,4082
Deroplatyidae,Mantodea,1700,461
Deropristidae,Plagiorchiida,79,51
Derorhynchidae,Didelphimorphia,10,
Desertellidae,Trigoniida,1,12
Desertifilaceae,Cyanobacteriales,776,1
Desidae,Araneae,17270,4385
Desmacellidae,Desmacellida,1089,906
Desmacididae,Poecilosclerida,1527,315
Desmanthidae,Bubarida,250,84
Desmarestiaceae,Desmarestiales,30542,2427
Desmatophocidae,Carnivora,502,616
Desmidiaceae,Zygnematales,12880,254416
Desmidocercidae,Rhabditida,74,81
Desmocarididae,Decapoda,66,750
Desmodoridae,Desmodorida,8027,5904
Desmophlebiaceae,Polypodiales,579,528
Desmopteridae,Pteropoda,69,75
Desmoscolecidae,Desmoscolecida,2917,2168
Desmosomatidae,Isopoda,9545,11631
Desmoxyidae,Poecilosclerida,64,14
Desulfallaceae,Desulfotomaculales,67,
Desulfarculaceae,Desulfarculales,37865,
Desulfatibacillaceae,Desulfobacterales,2471,
Desulfatiglandaceae,Desulfatiglandales,15910,
Desulfatirhabdiaceae,Desulfobacterales,8469,
Desulfitibacteraceae,Desulfitibacterales,62,
Desulfitobacteriaceae,Desulfitobacteriales,536,8667
Desulfobaccaceae,Desulfobaccales,338,
Desulfobacteraceae,Desulfobacterales,79118,
Desulfobulbaceae,Desulfobulbales,94543,
Desulfocapsaceae,Desulfobulbales,1993,2
Desulfococcaceae,Desulfobacterales,17652,
Desulfocucumaceae,Desulfotomaculales,1,
Desulfofarciminaceae,Desulfotomaculales,2,
Desulfohalobiaceae,Desulfovibrionales,3495,
Desulfohalobiaceae_A,Desulfovibrionales,157,
Desulfolunaceae,Desulfobacterales,254,
Desulfomicrobiaceae,Desulfovibrionales,7064,
Desulfomonilaceae,Desulfomonilales,1938,
Desulfonatronaceae,Desulfovibrionales,1310,
Desulfonatronovibrionaceae,Desulfovibrionales,252,
Desulfonauticaceae,Desulfovibrionales,191,
Desulfonisporaceae,Peptococcales,123,
Desulfoplanaceae,Desulfovibrionales,1464,
Desulforegulaceae,Desulfobacterales,2586,
Desulfosarcinaceae,Desulfobacterales,14219,
Desulfosudaceae,Desulfobacterales,6,
Desulfotomaculaceae,Desulfotomaculales,839,9
Desulfovibrionaceae,Desulfovibrionales,35037,273
Desulfovirgulaceae,Desulfotomaculales,32,
Desulfurellaceae,Desulfurellales,1205,
Desulfuribacillaceae,Desulfuribacillales,184,
Desulfurisporaceae,Desulfotomaculales,52,
Desulfurivibrionaceae,Desulfobulbales,74,
Desulfurobacteriaceae,Desulfurobacteriales,508,
Desulfurococcaceae,Sulfolobales,890,
Desulfuromonadaceae,Desulfuromonadales,25525,
Dethiobacteraceae,Dethiobacterales,31,
Dethiosulfatibacteraceae,Tissierellales,3353,
Dethiosulfovibrionaceae,Synergistales,622,
Detonidae,Isopoda,1306,1146
Deuterophlebiidae,Diptera,679,1436
Devadattidae,Odonata,2263,427
Developayellaceae,Developayellales,1155,
Devonacaridae,Sarcoptiformes,1,
Devonopronoritidae,Agoniatitida,1,
Devosiaceae,Rhizobiales,30882,12922
Dexaminidae,Amphipoda,8643,337241
Dexiidae,Diptera,34,10
Dhondtiscidae,Cheilostomatida,10,
Diacanthocapsidae,Nassellaria,16,
Diacodexeidae,Artiodactyla,71,48
Diademaceae,Pleosporales,3426,32
Diadematidae,Diadematoida,32864,141889
Diadesmidaceae,Naviculales,7622,15541
Diadocidiidae,Diptera,5214,1713
Diadumenidae,Actiniaria,4217,7236
Diaixidae,Calanoida,837,7567
Dialisteraceae,Veillonellales,1964,
Diamantomyidae,Rodentia,204,241
Diamphipnoidae,Plecoptera,68,264
Dianemataceae,Trichiales,3654,346
Dianulitidae,Trepostomatida,789,138
Diapensiaceae,Ericales,36104,6391
Diaperoeciidae,Cyclostomatida,1879,1003
Diaphanidae,Cephalaspidea,4041,11475
Diaphanocephalidae,Rhabditida,963,2174
Diaphanometopidae,Phacopida,828,648
Diaphanopteridae,Diaphanopterodea,8,12
Diapheridae,Stylommatophora,1557,1997
Diapheromeridae,Phasmida,14502,7358
Diapleuridae,Lychniscosida,22,7
Diaporthaceae,Diaporthales,48643,63181
Diaporthosporellaceae,Diaporthales,9,
Diaporthostomataceae,Diaporthales,2,
Diapriae,Hymenoptera,17,
Diapriidae,Hymenoptera,290016,120194
Diaptomidae,Calanoida,32441,2267105
Diarthrophallidae,Mesostigmata,421,292
Diascorhynchidae,Rhabdocoela,186,37
Diaspididae,Hemiptera,60863,16166716
Diastatidae,Diptera,4496,2819
Diastylidae,Cumacea,70026,173812
Diathemidae,Palaeodictyoptera,3,
Diatomophthoraceae,Pontismatales,369,
Diatomyidae,Rodentia,224,11
Diatrypaceae,Xylariales,110195,36518
Diaulacidae,Decapoda,10,5
Diazonidae,Aplousobranchia,3259,1366
Dicaeidae,Passeriformes,1048471,1623132
Diceratidae,Hippuritida,183,172
Diceratiidae,Lophiiformes,318,248
Diceratocephalidae,Rhabdocoela,10,
Dicercomyzidae,Ephemeroptera,106,167
Dicerocardiidae,Megalodontida,140,11
Dichapetalaceae,Malpighiales,51889,24209
Dichelesthiidae,Siphonostomatoida,196,560
Dichelinidae,Siphonostomatoida,26,16
Dichistiidae,Perciformes,562,51
Dichobunidae,Artiodactyla,7200,3016
Dichotomosiphonaceae,Bryopsidales,5236,1835
Dicistroviridae,Picornavirales,2494,
Dicksoniaceae,Cyatheales,81556,18833
Diclidophoridae,Mazocraeidea,840,1464
Diclybothriidae,Diclybothriidea,40,21
Dicranaceae,Dicranales,637917,2498541936
Dicranellaceae,Dicranales,183172,46127
Dicranemataceae,Gigartinales,767,1931
Dicranolasmatidae,Opiliones,286,724
Dicranophoridae,Ploima,1480,8103
Dicrocoeliidae,Plagiorchiida,3025,2552
Dicroglossidae,Anura,193788,188615
Dicruridae,Passeriformes,2847538,7115151
Dicteriadidae,Odonata,195,285
Dictyamoebidae,Phalansteriida,307,
Dictydiaethaliaceae,Trichiales,2999,1570
Dictynidae,Araneae,73872,59126
Dictyocaulidae,Rhabditida,15,12
Dictyochaceae,Dictyochales,52771,1600206
Dictyochloridaceae,Sphaeropleales,212,
Dictyococcaceae,Sphaeropleales,123,
Dictyocystidae,Oligotrichida,9085,2594185
Dictyodendrillidae,Dendroceratida,1185,368
Dictyodipteridae,Diptera,1,
Dictyoglomaceae,Dictyoglomales,672,
Dictyoneidaceae,Dictyoneidales,25,1
Dictyonellidae,Bubarida,5250,676
Dictyonemataceae,Polyporales,7,1
Dictyoneuridae,Palaeodictyoptera,203,37
Dictyopharidae,Hemiptera,15339,6119
Dictyopsellidae,Loftusiida,97,602
Dictyoptychidae,Hippuritida,1,
Dictyosiphonaceae,Dictyosiphonales,185,10
Dictyosphaeriaceae,Chlamydomonadales,14,6
Dictyosporiaceae,Pleosporales,4168,38
Dictyosteliaceae,Dictyosteliales,2678,
Dictyotaceae,Dictyotales,219954,89460
Dictyothyrididae,Terebratulida,135,188
Dictysarcidae,Plagiorchiida,31,28
Dicyclinidae,Loftusiida,126,2
Dicyrtomidae,Symphypleona,32272,18886
Didelphidae,Didelphimorphia,145798,63719
Didemnidae,Aplousobranchia,42065,33429
Didiereaceae,Caryophyllales,5709,1109
Didiniidae,Haptorida,6390,3988
Didymelaceae,Buxales,552,1069
Didymellaceae,Pleosporales,116825,5298
Didymiaceae,Physarales,88622,158608
Didymitidae,Ceratitida,116,18
Didymocheliidae,Amphipoda,25,16
Didymochlaenaceae,Polypodiales,7755,3015
Didymoconidae,Pilosa,60,9
Didymosellidae,Cheilostomatida,136,69
Didymosphaeriaceae,Pleosporales,37335,199
Didymozoidae,Plagiorchiida,1422,374
Diechoblattinidae,Blattodea,4,
Diedroporidae,Cheilostomatida,2,
Diegodendraceae,Malvales,117,109
Dielasmatidae,Terebratulida,6685,5303
Dieneroceratidae,Ceratitida,392,325
Dienopidae,Terebratulida,5,4
Diettertiaceae,Jungermanniales,13,
Dietziaceae,Actinomycetales,5006,2
Difflugiidae,Arcellinida,2688,7730
Diffusilinidae,Astrorhizida,22,4
Digamaseilidae,Mesostigmata,8,
Digamasellidae,Mesostigmata,14205,4453
Dignathodontidae,Geophilomorpha,2401,691
Diguetidae,Araneae,317,286
Dikelocephalidae,Asaphida,1099,1032
Dikelokephalinidae,Asaphida,56,1
Dikwidae,Amphipoda,19,3
Dilaridae,Neuroptera,942,601
Dilatilabridae,Littorinimorpha,25,50
Dilepididae,Cyclophyllidea,3912,662
Dileptidae,Dileptida,1676,10
Dilleniaceae,Dilleniales,267438,70197
Dimacrocaryonidae,Dileptida,152,
Dimarcusidae,Tricladida,94,256
Dimargaritaceae,Dimargaritales,281,
Dimeatidae,Phlebobranchia,8,9
Dimerellidae,Rhynchonellida,131,51
Dimeroceratidae,Goniatitida,95,29
Dimeropygidae,Proetida,584,390
Dimitobelidae,Belemnitida,138,100
Dimorphoceratidae,Goniatitida,201,76
Dimyidae,Pectinida,1225,1662
Dimylidae,Erinaceomorpha,330,22
Dinaritidae,Ceratitida,158,81
Dinematichthyidae,Ophidiiformes,2,
Dinesidae,Corynexochida,1237,609
Dinidoridae,Hemiptera,1947,2412
Dinjapygidae,Diplura,4,3
Dinoblattidae,Blattodea,14,
Dinobryaceae,Chromulinales,56528,19052210
Dinolestidae,Perciformes,5512,42958
Dinomycetaceae,Rhizophydiales,34,
Dinomyidae,Rodentia,767,140
Dinonemertidae,Polystilifera,42,31
Dinopanorpidae,Mecoptera,17,1
Dinopercidae,Perciformes,352,29
Dinophilidae,Eunicida,328,242
Dinophysaceae,Dinophysiales,131055,232100435
Dinophysiaceae,Dinophysiales,5892,
Dinopontiidae,Siphonostomatoida,27,83
Dinopsocidae,Psocodea,8,
Dinopterygidae,Beryciformes,3,3
Dinosphaeraceae,Peridiniales,171,
Dinychidae,Mesostigmata,71686,1025
Dioctophymatidae,Dioctophymatida,870,822
Diodontidae,Tetraodontiformes,50504,238054
Dioecotaeniidae,Tetraphyllidea,16,8
Diogenidae,Decapoda,89610,115251
Dioicocestidae,Cyclophyllidea,136,29
Diomedeidae,Procellariiformes,903129,19159780
Diomedeoididae,Procellariiformes,11,
Dionchidae,Capsalidea,34,17
Dioncophyllaceae,Caryophyllales,658,248
Dionididae,Asaphida,534,315
Diopisthoporidae,Acoela,59,43
Diopsidae,Diptera,5970,9011
Diorocetidae,Artiodactyla,20,3
Diosaccidae,Harpacticoida,101,96
Dioscoreaceae,Dioscoreales,434300,74830
Diparidae,Hymenoptera,810,892
Dipentodontaceae,Huerteales,6833,5120
Diphterophoridae,Dorylaimida,24,
Diphtherophoridae,Triplonchida,468,92
Diphyidae,Siphonophorae,28683,262658
Diphylleidae,Diphylleida,60,
Diphyllobothriidae,Diphyllobothriidea,9500,2163
Diphyllostomatidae,Coleoptera,52,25
Diphysciaceae,Diphysciales,18077,35523726
Diplagnostidae,Agnostida,1489,582
Diplangidae,Plagiorchiida,72,50
Diplatyidae,Dermaptera,174,60
Diplaziopsidaceae,Polypodiales,8114,377
Diplectanidae,Dactylogyridea,2607,2007
Dipleurosomatidae,Leptothecata,92,33
Diploastraeidae,Scleractinia,2632,313
Diplobelidae,Belemnitida,9,
Diplocentridae,Scorpiones,2163,2047
Diplocercididae,Coelacanthiformes,33,29
Diplocidaridae,Cidaroida,124,234
Diploclemidae,Cyclostomatida,129,48
Diploconidae,Arthracanthida,7,
Diplocystidae,Eugregarinida,6,6
Diplocystidiaceae,Boletales,11613,5321
Diplodiscidae,Plagiorchiida,391,170
Diplogastridae,Rhabditida,2328,3127
Diplogelasinosporaceae,Sordariales,473,
Diplogyniidae,Mesostigmata,493,936
Diplomaragnidae,Chordeumatida,672,29
Diplommatinidae,Architaenioglossa,19055,51579
Diplomystidae,Siluriformes,712,2321
Diploneidaceae,Naviculales,13079,1211667
Diplonemidae,Diplonemida,3074,2
Diplopauropodidae,Tetramerocerata,48,
Diplopeltidae,Araeolaimida,1889,878
Diplopeltoididae,Plectida,312,122
Diplophryidae,Thraustochytrida,16,4
Diplopodiidae,Phymosomatoida,791,602
Diploporaceae,Dasycladales,118,9
Diplorickettsiaceae,Diplorickettsiales,1726,3336
Diplosentidae,Echinorhynchida,16,8
Diplostomidae,Diplostomida,17465,20559
Diplotriaenidae,Rhabditida,1185,1094
Diplotrypidae,Trepostomatida,2191,268
Diplozoidae,Mazocraeidea,467,40
Dipluridae,Araneae,2374,1439
Dipodascaceae,Saccharomycetales,10863,12
Dipodidae,Rodentia,56203,18493
Diporodrilidae,Crassiclitellata,130,62
Diprionidae,Hymenoptera,19277,55844
Diprotodontidae,Diprotodontia,1554,994
Dipsacaceae,Dipsacales,24877,2330
Dipseudopsidae,Trichoptera,3252,6453
Dipsocoridae,Hemiptera,1618,3505
Dipteridaceae,Gleicheniales,10212,798
Dipterocarpaceae,Malvales,84075,9324
Dipteromantispidae,Neuroptera,6,
Dipteromimidae,Ephemeroptera,315,6
Diptilomiopidae,Trombidiformes,937,42
Dipylidiidae,Cyclophyllidea,1103,781
Dirachmaceae,Rosales,105,6
Diretmidae,Beryciformes,3660,3740
Dirivultidae,Siphonostomatoida,2151,75717
Dironidae,Nudibranchia,4016,154
Discamminidae,Lituolida,1089,459
Disceliaceae,Disceliales,2444,415
Disciadidae,Decapoda,264,261
Discidae,Stylommatophora,120929,236156
Discinaceae,Pezizales,40467,29321
Discinellaceae,Helotiales,9287,1588
Discinidae,Lingulida,5980,9423
Disciniidae,Lingulida,63,146
Discoasteraceae,Discoasterales,35086,78
Discocephalidae,Euplotida,3519,873
Discocotylidae,Mazocraeidea,211,421
Discocyclinidae,Rotaliida,3134,5345
Discodorididae,Nudibranchia,42504,5832
Discoidae,Calanoida,90,54
Discoididae,Holectypoida,1299,1589
Discolaimidae,Dorylaimida,3,
Discolomatidae,Coleoptera,1580,573
Discomorphellidae,Odontostomatida,2,2
Discophryidae,Astomatida,25,2
Discophyllitidae,Phylloceratida,592,66
Discophytidae,Malacalcyonacea,94,8
Discorbidae,Rotaliida,4099,13990
Discorbinellidae,Rotaliida,6794,31802
Discosiaceae,Amphisphaeriales,3963,19
Discosomidae,Corallimorpharia,1668,1245
Discospirinidae,Miliolida,28,2
Discosporangiaceae,Discosporangiales,35,
Discotrichidae,Nassulida,2715,
Discourellidae,Mesostigmata,16,
Discoviridae,Bunyavirales,14,
Discozerconidae,Mesostigmata,67,13
Disculicepitidae,Cathetocephalidea,11,6
Dispheniidae,Rhynchonellida,9,
Dissoconiaceae,Capnodiales,336,3
Dissonidae,Siphonostomatoida,76,544
Dissulfuribacteraceae,Dissulfuribacterales,329,
Dissulfurirhabdaceae,Dissulfuribacterales,215,
Dissulfurispiraceae,Thermodesulfovibrionales,4,
Disteniidae,Coleoptera,71,11
Distichiaceae,Scouleriales,29319,1927
Distichitidae,Ceratitida,319,22
Distichodontidae,Characiformes,15668,50539
Distichoflabellidae,Scleractinia,2,
Distigmidae,Natomonadida,325,1
Distoseptisporaceae,Distoseptisporales,553,31
Ditaxineuridae,Odonata,17,9
Dithinozerconidae,Mesostigmata,1349,1793
Ditomyiidae,Diptera,3672,702
Ditrichaceae,Dicranales,237795,361136
Ditripodiidae,Ebriida,26,26
Dittoporidae,Trepostomatida,625,520
Diurodrilidae,Eunicida,41,19
Diversisporaceae,Diversisporales,6619,1396
Dixidae,Diptera,22096,49968
Dixoniellaceae,Dixoniellales,118,
Doassansiaceae,Doassansiales,3374,103
Doassansiopsidaceae,Urocystidales,858,17
Dogielinotidae,Amphipoda,1711,22023
Doidae,Lepidoptera,497,104
Dokimocephalidae,Ptychopariida,2027,1036
Dolabellopsocidae,Psocodea,88,59
Dolborellidae,Palaeocopida,6,
Dolerolenidae,Redlichiida,101,96
Dolichocybidae,Trombidiformes,25,1
Dolichodoridae,Rhabditida,6296,7557
Dolicholatiridae,Neogastropoda,1317,1002
Dolichomacrostomidae,Dolichomicrostomida,401,95
Dolichomastigaceae,Dolichomastigales,6138,8228
Dolichometopidae,Corynexochida,1812,1119
Dolichoperidae,Plagiorchiida,57,8
Dolichopodidae,Diptera,651417,781747
Doliolidae,Doliolida,6968,141196
Doliolunidae,Doliolida,5,
Doliopsidae,Doliolida,43,3
Doliopsoididae,Doliolida,1,3
Dolponellidae,Pectinida,9,
Domatoceratidae,Nautilida,57,14
Domeciidae,Decapoda,1433,2395
Domibacillaceae,Bacillales_B,927,188
Donacidae,Cardiida,54852,253744
Donacobiidae,Passeriformes,60118,125157
Donacosmiliidae,Scleractinia,31,1
Dongiaceae,Dongiales,16061,8394
Doradidae,Siluriformes,17346,44340
Dorataspidae,Arthracanthida,1675,3
Dorcasiidae,Stylommatophora,754,1207
Dorididae,Nudibranchia,22658,4950
Doridomorphidae,Nudibranchia,48,5
Doridoxidae,Nudibranchia,32,14
Dorippidae,Decapoda,3321,3153
Dormibacteraceae,Dormibacterales,7,
Dorosomatidae,Clupeiformes,1,
Dorsoporidae,Polydesmida,1,1
Dorvilleidae,Eunicida,50317,228935
Doryanthaceae,Asparagales,5065,10373
Dorydrilidae,Lumbriculida,52,1
Dorylaimidae,Dorylaimida,4764,6265
Dorypetalidae,Callipodida,164,109
Doryphoribiidae,Parachela,1658,416
Doryporellidae,Cheilostomatida,108,59
Dorypygidae,Corynexochida,2544,1445
Dothideaceae,Dothideales,9717,1240
Dothidotthiaceae,Pleosporales,9352,29
Dothioraceae,Dothideales,7837,69
Dotidae,Nudibranchia,10284,5915
Dotillidae,Decapoda,6614,4541
Doubraviidae,Eoblattida,2,
Douglasiidae,Lepidoptera,3381,19942
Dracaphididae,Hemiptera,1,
Dracochelidae,Pseudoscorpiones,1,
Dracoderidae,Anomoirhaga,254,182
Draconematidae,Desmodorida,978,293
Draconettidae,Perciformes,370,414
Dracunculidae,Rhabditida,719,187
Draparnaudiidae,Stylommatophora,241,394
Dreissenidae,Myida,50717,5110993
Drepaneidae,Perciformes,3387,5786
Drepanellidae,Palaeocopida,150,508
Drepanidae,Lepidoptera,1145473,2072337
Drepanobandidae,Polystilifera,6,3
Drepanochaitophoridae,Hemiptera,1,
Drepanogigantidae,Polystilifera,9,6
Drepanopezizaceae,Helotiales,32386,2986
Drepanophorellidae,Polystilifera,51,15
Drepanophoridae,Polystilifera,307,127
Drepanosiphidae,Hemiptera,14,16
Drexlerviridae,Caudovirales,246,
Drilidae,Coleoptera,4857,1680
Drilliidae,Neogastropoda,22881,29241
Drilonematidae,Rhabditida,41,24
Dromadidae,Charadriiformes,12709,600344
Dromaiidae,Casuariiformes,127067,301151
Dromiidae,Decapoda,11796,8189
Dromomerycidae,Artiodactyla,858,304
Dromornithidae,Struthioniformes,179,160
Dronovitidae,Ceratitida,1,
Droseraceae,Caryophyllales,574775,4535554
Drosophilidae,Diptera,227790,824380358
Drosophyllaceae,Caryophyllales,1745,1145
Drummondiaceae,Scouleriales,2667,465
Drupaceae,Rosales,215,44
Druppulidae,Spumellaria,29,55
Dryadaulidae,Lepidoptera,2978,352
Dryelbidae,Podocopida,17,29
Dryini,Hymenoptera,4,
Dryinidae,Hymenoptera,39544,22310
Drymobatidae,Sarcoptiformes,16,1
Drymonematidae,Semaeostomeae,305,57
Drymusidae,Araneae,212,44
Dryodoridae,Cydippida,118,5
Dryomyzidae,Diptera,13219,14255
Dryophthoridae,Coleoptera,66547,27074
Dryopidae,Coleoptera,53574,58782
Dryopteridaceae,Polypodiales,3055602,853692
Dryorhizopsidae,Astrorhizida,60,547
Dualinidae,Cyrtodontida,7,
Dubioniscidae,Isopoda,187,1214
Duboscqiidae,Meiodihaplophasida,8,6
Duboscquellaceae,Syndiniales,16158,
Dudgeoneidae,Lepidoptera,308,74
Dugesiidae,Tricladida,42128,87479
Dugongidae,Sirenia,24932,9295
Dulichiidae,Amphipoda,5493,11492
Dulidae,Passeriformes,23085,254445
Dumontiaceae,Gigartinales,39234,5139
Dumontiidae,Diplostraca,16,19
Dumortieraceae,Marchantiales,10735,981
Dunaliellaceae,Volvocales,8478,198435
Dunbarulidae,Fusulinida,345,8
Dunstaniidae,Hemiptera,13,
Duostominidae,Robertinida,108,19
Duplorbidae,Akentrogonida,21,22
Duquepsammiidae,Lituolida,383,61
Durvillaeaceae,Fucales,7489,1655
Dusenburyinidae,Lituolida,13,37
Dussumieridae,Clupeiformes,56,88
Dussumieriidae,Clupeiformes,8424,1208716
Duvaliidae,Belemnitida,2059,2220
Duvergieriidae,Cheilostomatida,2,3
Dwigubskyiidae,Mesostigmata,1,
Dwiroopaceae,Diaporthales,45,
Dyakiidae,Stylommatophora,3801,2619
Dyfrolomycetaceae,Dyfrolomycetales,4,
Dynastidae,Coleoptera,10332,1111
Dynomenidae,Decapoda,1304,1645
Dysagrionidae,Odonata,64,34
Dyscoliidae,Terebratulida,654,648
Dyscritellidae,Trepostomatida,862,131
Dysderidae,Araneae,38653,7235
Dysgonomonadaceae,Bacteroidales,6772,536
Dysideidae,Dictyoceratida,20627,1814
Dysmorphoptilidae,Hemiptera,58,2
Dysnoetoporidae,Cheilostomatida,89,40
Dysoneuridae,Trichoptera,10,3
Dysoristidae,Lingulida,39,24
Dysteriidae,Dysteriida,4810,148
Dytiscidae,Coleoptera,1138938,1126961
Dytiscides,Coleoptera,10,
Dzhajloutshellidae,Orthoptera,6,
Dzhulfitidae,Ceratitida,509,464
ECT2AJA-044,Flavobacteriales,13,
EX4572-44,Methanosarcinales,1,
Eadiidae,Blattodea,2,1
Earlandiidae,Fusulinida,418,206
Eatoniellidae,Littorinimorpha,6259,12198
Eatoniidae,Rhynchonellida,1201,1718
Eballistraceae,Georgefischeriales,440,3
Ebboidae,Hemiptera,5,3
Ebenaceae,Ericales,262308,177452
Ebriidae,Ebriida,3075,4
Ecbathyriontidae,Siphonostomatoida,36,694
Eccoptarthridae,Coleoptera,1,
Eccriniidae,Eccrinida,373,
Ecdeiocoleaceae,Poales,798,69
Echeneibothriidae,Rhinebothriidea,301,59
Echeneidae,Perciformes,13139,7665
Echimyidae,Rodentia,33303,28497
Echimyopodidae,Sarcoptiformes,768,83
Echinamoebidae,Amoebida,2648,
Echinarachniidae,Echinolampadacea,8743,39658
Echinasteridae,Spinulosida,53288,26465
Echinidae,Camarodonta,43975,67329
Echiniscidae,Echiniscoidea,12055,4296
Echiniscoididae,Echiniscoidea,1009,28
Echinobothriidae,Diphyllidea,444,264
Echinochasmidae,Plagiorchiida,624,1016104
Echinochimaeridae,Chimaeriformes,60,
Echinochitonidae,Chelodida,4,3
Echinocoridae,Spatangoida,112,21
Echinocorythidae,Holasteroida,5002,1255
Echinoderidae,Echinorhagata,5934,5613
Echinodiaceae,Hypnales,1724,43
Echinodontiaceae,Russulales,8809,1300
Echinofulguridae,Neogastropoda,1171,750
Echinolampadidae,Echinolampadacea,4773,5231
Echinomermellidae,Enoplida,39,12
Echinometridae,Camarodonta,40341,280282
Echinomyidae,Rodentia,7,
Echinoneidae,Echinoneoida,1241,2153
Echinophallidae,Bothriocephalidea,54,17
Echinophthiriidae,Psocodea,1716,1775
Echinoptilidae,Scleralcyonacea,457,110
Echinorhinidae,Squaliformes,400,246
Echinorhynchidae,Echinorhynchida,3208,2679
Echinosteliaceae,Echinosteliales,7291,862
Echinostomatidae,Plagiorchiida,5532,2115
Echinothambematidae,Isopoda,27,213
Echinothuriidae,Echinothurioida,4464,3816
Echinovadomidae,Cheilostomatida,11,10
Echiuridae,Echiuroidea,1724,2679
Echiurophilidae,Cyclopoida,1,1
Eckastraeidae,Scleractinia,2,
Ecnomidae,Trichoptera,39631,125900
Ecnomiosidae,Terebratulida,1,
Ecphyadophoridae,Rhabditida,7,
Ectinosomatidae,Harpacticoida,16481,223526
Ectobidae,Blattodea,7,1
Ectobiidae,Blattodea,142268,56662
Ectocarpaceae,Ectocarpales,37015,3422
Ectolechiaceae,Lecanorales,764,8
Ectopsocidae,Psocodea,16771,4808
Ectothiorhodospiraceae,Ectothiorhodospirales,72173,
Ectrogellaceae,Peronosporales,17,
Edaphodontidae,Chimaeriformes,35,4
